Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
17/07/2021,806,33,617,,,
18/07/2021,807,34,617,,,
19/07/2021,807,34,617,,,
20/07/2021,983,34,617,,,
21/07/2021,983,34,617,,,
22/07/2021,983,34,617,,,
23/07/2021,1086,34,617,,,
24/07/2021,1122,34,617,,,
25/07/2021,1138,34,617,,,
26/07/2021,1199,34,617,,,
27/07/2021,1225,34,617,,,
28/07/2021,1275,34,617,,,
29/07/2021,1329,34,617,,,
30/07/2021,1394,37,617,,,
31/07/2021,1449,37,617,,,
1/8/2021,1449,37,617,,,
2/8/2021,1525,37,617,,,
3/8/2021,1591,40,617,,,
4/8/2021,1684,41,617,,,
5/8/2021,1776,42,617,,,
6/8/2021,1914,43,617,,,
7/8/2021,1914,43,617,,,
8/8/2021,2044,41,617,,,
9/8/2021,2104,41,617,,,
10/8/2021,2178,42,617,,,
11/8/2021,2234,43,617,,,
12/8/2021,2312,45,617,,,
13/08/2021,2370,45,617,,,
14/08/2021,2457,48,617,,,
15/08/2021,2540,48,617,,,
16/08/2021,2636,48,617,,,
17/08/2021,2760,48,617,,,
18/08/2021,3038,49,617,,,
19/08/2021,3058,49,617,,,
20/08/2021,3225,49,617,,,
21/08/2021,3422,49,617,,,
22/08/2021,3605,49,617,,,
23/08/2021,3757,52,617,,,
24/08/2021,3910,52,617,,,
25/08/2021,4072,55,617,,,
26/08/2021,4216,55,617,,,
27/08/2021,4418,57,617,,,
28/08/2021,4527,58,617,,,
29/08/2021,4633,61,617,,,
30/08/2021,4687,62,617,,,
31/08/2021,4810,62,617,,,
1/9/2021,4865,66,617,,,
2/9/2021,4907,70,617,,,
3/9/2021,4988,70,617,,,
4/9/2021,5035,74,617,,,
5/9/2021,5099,74,617,,,
6/9/2021,5153,76,617,,,
7/9/2021,5187,78,617,,,
8/9/2021,5217,78,617,,,
9/9/2021,5252,81,617,,,
10/9/2021,5282,84,617,,,
11/9/2021,5301,86,617,,,
12/9/2021,5313,87,617,,,
13/09/2021,5326,89,617,221636,67885,289521
14/09/2021,5337,89,617,229131,71145,300276
15/09/2021,5346,89,617,256829,71175,328004
16/09/2021,5348,89,617,296807,71252,368059
17/09/2021,5356,91,617,296807,71252,368059
18/09/2021,5356,91,617,341182,71291,412473
19/09/2021,5358,91,617,376977,71508,448485
20/09/2021,5361,93,617,415160,72239,487399
21/09/2021,5376,94,617,453518,73118,526636
22/09/2021,5386,95,617,504432,79861,584293
23/09/2021,5389,95,617,504432,79861,584293
24/09/2021,5393,96,617,530536,79896,610432
25/09/2021,5404,98,617,566405,80393,646798
26/09/2021,5412,99,617,585599,81826,667425
27/09/2021,5413,100,617,629872,82915,712787
28/09/2021,5415,102,617,629872,82915,712787
29/09/2021,5416,102,617,634651,87201,721852
30/09/2021,5418,102,617,634651,87201,721852
1/10/2021,5420,103,617,634651,87201,721852
2/10/2021,5421,103,617,635600,87820,723420
3/10/2021,5422,103,617,636415,87913,724328
4/10/2021,5423,104,617,638655,87913,726568
5/10/2021,5425,104,617,633617,92951,726568
6/10/2021,5426,104,617,658227,93677,751904
7/10/2021,5427,104,617,683161,93763,776924
8/10/2021,5427,104,617,700407,94452,794859
9/10/2021,5427,104,617,711427,94452,805879
10/10/2021,5429,104,617,691499,115252,806751
11/10/2021,5429,104,617,691499,115252,806751
12/10/2021,5433,104,617,691620,120861,812481
13/10/2021,5433,104,617,696785,120928,817713
14/10/2021,5434,104,617,699834,121172,821006
15/10/2021,5434,104,617,699834,121172,821006
16/10/2021,5434,104,617,703995,125684,829679
17/10/2021,5434,104,617,715968,127331,843299
18/10/2021,5434,105,617,715968,127331,843299
19/10/2021,5436,105,617,715506,134908,850414
20/10/2021,5444,105,617,714402,136303,850705
21/10/2021,5444,105,617,714402,136303,850705
22/10/2021,5444,105,617,701402,149303,850705
23/10/2021,5446,105,617,701402,149303,850705
24/10/2021,5455,105,617,701402,149303,850705
25/10/2021,5456,105,617,701402,149303,850705
26/10/2021,5458,105,617,703743,153103,856846
27/10/2021,5461,105,617,700583,156289,856872
28/10/2021,5465,105,617,685758,170751,856509
29/10/2021,5467,105,617,685758,170751,856509
30/10/2021,5469,105,617,671992,187636,859628
31/10/2021,5473,105,617,630165,229793,859958
1/11/2021,5473,105,617,630165,229793,859958
2/11/2021,5483,105,617,621867,251028,872895
3/11/2021,5487,105,617,632293,257185,889478
4/11/2021,5500,105,617,635989,257238,893227
5/11/2021,5514,105,617,635989,257238,893227
6/11/2021,5535,105,617,581304,312715,894019
7/11/2021,5553,105,617,542306,351815,894121
8/11/2021,5574,105,617,521237,372902,894139
9/11/2021,5606,105,617,519307,374832,894139
10/11/2021,5632,105,617,501308,392831,894139
11/11/2021,5645,105,0,492563,401613,1295789
12/11/2021,5679,105,0,492563,401613,1295789
13/11/2021,5705,105,0,447606,446813,1341232
14/11/2021,5723,105,0,419850,474569,1368988
15/11/2021,5756,105,0,419850,474569,1368988
16/11/2021,5790,105,0,391875,502596,1397067
17/11/2021,5827,105,0,351605,543699,1439003
18/11/2021,5853,105,0,351605,543699,1439003
19/11/2021,5879,105,0,305662,589642,1484946
20/11/2021,5923,105,0,323900,589642,1503184
21/11/2021,5960,105,0,338840,589642,1518124
22/11/2021,5992,105,0,338840,589642,1518124
23/11/2021,6057,105,0,337897,591928,1521753
24/11/2021,6117,105,0,304461,625364,1555189
25/11/2021,6183,105,0,278953,650878,1580709
26/11/2021,6275,105,0,254413,679202,1612817
