,Day,Case_by_time,Death_by_time,recovered_by_time
353,20/12/2021,9949,107,0
354,21/12/2021,10118,107,0
355,22/12/2021,10289,107,0
356,23/12/2021,10484,108,0
357,24/12/2021,10624,108,0
358,25/12/2021,10835,108,0
359,26/12/2021,10953,108,0
360,27/12/2021,11039,108,0
361,28/12/2021,11174,108,0
362,29/12/2021,11354,109,0
363,30/12/2021,11539,109,0
364,31/12/2021,11693,109,0
365,01/01/2022,11886,110,0
366,02/01/2022,12088,110,0
367,03/01/2022,12247,110,0
368,04/01/2022,12500,110,0
369,05/01/2022,12745,110,0
370,06/01/2022,13044,110,0
371,07/01/2022,13353,112,0
372,08/01/2022,13835,113,0
373,09/01/2022,14268,114,0
374,10/01/2022,14721,115,0
375,11/01/2022,15264,115,0
376,12/01/2022,15856,115,0
377,13/01/2022,16513,116,0
378,14/01/2022,17279,116,0
379,15/01/2022,18153,116,0
380,16/01/2022,19041,116,0
381,17/01/2022,19965,116,0
382,18/01/2022,20908,118,0
383,19/01/2022,21800,118,0
384,20/01/2022,22793,119,0
385,21/01/2022,23757,120,0
386,22/01/2022,24731,121,0
387,23/01/2022,25715,124,0
388,24/01/2022,26673,126,0
389,25/01/2022,27662,130,0
390,26/01/2022,28668,135,0
391,27/01/2022,29556,137,0
392,28/01/2022,30442,140,0
393,29/01/2022,31312,143,0
394,30/01/2022,32188,146,0
395,31/01/2022,33066,148,0
396,01/02/2022,33849,148,0
397,02/02/2022,34627,148,0
398,03/02/2022,34627,151,0
399,04/02/2022,36171,153,0
400,05/02/2022,36954,157,0
401,06/02/2022,37882,161,0
402,07/02/2022,38817,165,0
403,08/02/2022,39671,168,0
404,09/02/2022,40596,151,0
405,10/02/2022,41535,155,0
406,11/02/2022,42462,157,0
407,12/02/2022,43402,161,0
408,13/02/2022,44244,167,0
409,14/02/2022,45031,178,0
410,15/02/2022,45763,183,0
411,16/02/2022,46506,188,0
412,17/02/2022,47211,196,0
413,18/02/2022,47943,204,0
414,19/02/2022,48684,213,0
415,20/02/2022,49404,220,0
416,21/02/2022,50311,223,0
417,22/02/2022,51257,226,0
418,23/02/2022,52175,230,0
419,24/02/2022,53156,238,0
420,25/02/2022,54113,245,0
421,26/02/2022,55099,250,0
422,27/02/2022,50856,253,0
423,28/02/2022,51984,263,0
424,01/03/2022,53371,268,0
425,02/03/2022,54829,273,0
426,03/03/2022,56294,277,0
427,04/03/2022,57983,282,0
428,05/03/2022,59950,289,0
429,06/03/2022,61922,295,0
430,07/03/2022,63805,299,0
431,08/03/2022,65710,303,0
432,09/03/2022,67468,307,0
433,10/03/2022,69292,310,0
434,11/03/2022,71075,310,0
435,12/03/2022,72592,311,0
436,13/03/2022,73930,316,0
437,14/03/2022,75165,317,0
438,15/03/2022,76442,319,0
439,16/03/2022,77739,322,0
440,17/03/2022,78825,323,0
441,18/03/2022,79781,325,0
442,19/03/2022,80583,327,0
443,20/03/2022,81348,327,0
444,21/03/2022,82136,328,0
445,22/03/2022,82883,328,0
446,23/03/2022,83595,328,0
447,24/03/2022,84273,328,0
448,25/03/2022,84944,330,0
449,26/03/2022,85599,334,0
450,27/03/2022,86342,334,0
451,28/03/2022,87137,334,0
452,29/03/2022,87889,334,0
453,30/03/2022,88672,335,0
454,31/03/2022,89408,335,0
