,Day,Case_by_time,Death_by_time,recovered_by_time
211,31/07/2021,245,1,50
212,01/08/2021,245,1,50
213,02/08/2021,248,1,50
214,03/08/2021,250,1,50
215,04/08/2021,251,1,50
216,05/08/2021,251,1,50
217,06/08/2021,253,1,50
218,07/08/2021,253,1,50
219,08/08/2021,254,1,50
220,09/08/2021,254,1,50
221,10/08/2021,254,1,50
222,11/08/2021,254,1,50
223,12/08/2021,254,1,50
224,13/08/2021,254,1,50
225,14/08/2021,254,1,50
226,15/08/2021,254,1,50
227,16/08/2021,254,1,50
228,17/08/2021,254,1,50
229,18/08/2021,255,1,50
230,19/08/2021,255,1,50
231,20/08/2021,255,1,50
232,21/08/2021,255,1,50
233,22/08/2021,255,1,50
234,23/08/2021,255,1,50
235,24/08/2021,255,1,50
236,25/08/2021,255,1,50
237,26/08/2021,255,1,50
238,27/08/2021,255,1,50
239,28/08/2021,255,1,50
240,29/08/2021,255,2,50
241,30/08/2021,255,2,50
242,31/08/2021,255,2,50
243,01/09/2021,255,3,50
244,02/09/2021,255,3,50
245,03/09/2021,255,3,50
246,04/09/2021,255,3,50
247,05/09/2021,255,3,50
248,06/09/2021,255,3,50
249,07/09/2021,255,3,50
250,08/09/2021,255,3,50
251,09/09/2021,255,3,50
252,10/09/2021,255,3,50
253,11/09/2021,255,3,50
254,12/09/2021,255,3,50
255,13/09/2021,255,3,50
256,14/09/2021,255,3,50
257,15/09/2021,255,3,50
258,16/09/2021,255,3,50
259,17/09/2021,255,3,50
260,18/09/2021,255,3,50
261,19/09/2021,255,3,50
262,20/09/2021,255,3,50
263,21/09/2021,255,3,50
264,22/09/2021,255,3,50
265,23/09/2021,255,3,50
266,24/09/2021,255,3,50
267,25/09/2021,255,3,50
268,26/09/2021,255,3,50
269,27/09/2021,256,3,50
270,28/09/2021,256,3,50
271,29/09/2021,256,3,50
272,30/09/2021,256,3,50
273,01/10/2021,256,3,50
274,02/10/2021,256,3,50
275,03/10/2021,256,3,50
276,04/10/2021,256,3,50
277,05/10/2021,256,3,50
278,06/10/2021,256,3,50
279,07/10/2021,257,3,50
280,08/10/2021,257,3,50
281,09/10/2021,258,3,50
282,10/10/2021,263,3,50
283,11/10/2021,264,3,50
284,12/10/2021,264,3,50
285,13/10/2021,266,3,50
286,14/10/2021,267,3,50
287,15/10/2021,267,3,50
288,16/10/2021,267,3,50
289,17/10/2021,267,3,50
290,18/10/2021,267,3,50
291,19/10/2021,267,3,50
292,20/10/2021,268,3,50
293,21/10/2021,270,3,50
294,22/10/2021,270,3,50
295,23/10/2021,270,3,50
296,24/10/2021,270,3,50
297,25/10/2021,273,3,50
298,26/10/2021,275,3,50
299,27/10/2021,275,3,50
300,28/10/2021,282,3,50
301,29/10/2021,283,3,50
302,30/10/2021,289,3,50
303,31/10/2021,289,3,50
304,01/11/2021,292,3,50
305,02/11/2021,295,3,50
306,03/11/2021,296,3,50
307,04/11/2021,298,3,50
308,05/11/2021,298,3,50
309,06/11/2021,314,3,50
310,07/11/2021,317,3,50
311,08/11/2021,326,3,50
312,09/11/2021,341,3,50
313,10/11/2021,345,3,50
314,11/11/2021,350,3,0
315,12/11/2021,353,3,0
316,13/11/2021,358,3,0
317,14/11/2021,358,3,0
318,15/11/2021,366,3,0
319,16/11/2021,377,3,0
320,17/11/2021,388,3,0
321,18/11/2021,444,3,0
322,19/11/2021,476,3,0
323,20/11/2021,529,3,0
324,21/11/2021,630,3,0
325,22/11/2021,669,3,0
326,23/11/2021,739,3,0
327,24/11/2021,872,3,0
328,25/11/2021,926,3,0
329,26/11/2021,988,3,0
330,27/11/2021,1092,3,0
331,28/11/2021,1150,3,0
332,29/11/2021,1204,3,0
333,30/11/2021,1239,3,0
334,01/12/2021,1265,3,0
335,02/12/2021,1289,3,0
336,03/12/2021,1329,3,0
337,04/12/2021,1373,3,0
338,05/12/2021,1407,3,0
339,06/12/2021,1407,3,0
340,07/12/2021,1499,3,0
341,08/12/2021,1536,3,0
342,09/12/2021,1585,3,0
343,10/12/2021,1633,3,0
344,11/12/2021,1695,3,0
345,12/12/2021,1727,3,0
346,13/12/2021,1785,3,0
347,14/12/2021,1814,6,0
348,15/12/2021,1847,6,0
349,16/12/2021,1868,6,0
350,17/12/2021,1868,6,0
351,18/12/2021,1954,6,0
352,19/12/2021,2021,6,0
353,20/12/2021,2065,6,0
354,21/12/2021,2146,6,0
355,22/12/2021,2208,6,0
356,23/12/2021,2254,6,0
357,24/12/2021,2358,6,0
358,25/12/2021,2449,6,0
359,26/12/2021,2553,6,0
360,27/12/2021,2638,6,0
361,28/12/2021,2735,6,0
362,29/12/2021,2833,6,0
363,30/12/2021,2929,6,0
364,31/12/2021,3011,6,0
365,01/01/2022,3107,6,0
366,02/01/2022,3199,6,0
367,03/01/2022,3298,6,0
368,04/01/2022,3435,6,0
369,05/01/2022,3626,6,0
370,06/01/2022,3812,6,0
371,07/01/2022,3969,6,0
372,08/01/2022,4166,6,0
373,09/01/2022,4336,6,0
374,10/01/2022,4516,7,0
375,11/01/2022,4693,7,0
376,12/01/2022,4891,8,0
377,13/01/2022,5106,8,0
378,14/01/2022,5353,8,0
379,15/01/2022,5628,8,0
380,16/01/2022,5899,8,0
381,17/01/2022,6152,8,0
382,18/01/2022,6457,8,0
383,19/01/2022,6796,8,0
384,20/01/2022,7066,8,0
385,21/01/2022,7347,8,0
386,22/01/2022,7662,8,0
387,23/01/2022,7938,8,0
388,24/01/2022,8235,8,0
389,25/01/2022,8620,8,0
390,26/01/2022,9085,8,0
391,27/01/2022,9547,8,0
392,28/01/2022,9916,8,0
393,29/01/2022,10263,8,0
394,30/01/2022,10524,8,0
395,31/01/2022,10784,8,0
396,01/02/2022,10991,8,0
397,02/02/2022,11161,8,0
398,03/02/2022,11218,8,0
399,04/02/2022,11593,8,0
400,05/02/2022,12088,8,0
401,06/02/2022,12638,8,0
402,07/02/2022,13363,8,0
403,08/02/2022,14254,10,0
404,09/02/2022,15107,11,0
405,10/02/2022,15954,11,0
406,11/02/2022,16810,14,0
407,12/02/2022,17741,14,0
408,13/02/2022,18717,14,0
409,14/02/2022,19699,14,0
410,15/02/2022,20834,14,0
411,16/02/2022,22108,14,0
412,17/02/2022,23470,14,0
413,18/02/2022,25628,14,0
414,19/02/2022,39872,14,0
415,20/02/2022,41564,14,0
416,21/02/2022,43298,14,0
417,22/02/2022,45109,14,0
418,23/02/2022,68893,14,0
419,24/02/2022,71010,14,0
420,25/02/2022,73377,14,0
421,26/02/2022,76372,14,0
422,27/02/2022,79013,14,0
423,28/02/2022,81865,19,0
424,01/03/2022,84778,19,0
425,02/03/2022,87712,19,0
426,03/03/2022,90547,19,0
427,04/03/2022,93361,19,0
428,05/03/2022,96166,19,0
429,06/03/2022,98960,19,0
430,07/03/2022,101743,19,0
431,08/03/2022,104669,19,0
432,09/03/2022,107398,19,0
433,10/03/2022,131336,19,0
434,11/03/2022,153524,19,0
435,12/03/2022,156347,19,0
436,13/03/2022,159334,19,0
437,14/03/2022,187421,19,0
438,15/03/2022,190414,19,0
439,16/03/2022,199289,19,0
440,17/03/2022,223134,19,0
441,18/03/2022,227129,19,0
442,19/03/2022,231119,19,0
443,20/03/2022,260337,19,0
444,21/03/2022,264023,19,0
445,22/03/2022,291602,19,0
446,23/03/2022,295179,19,0
447,24/03/2022,298066,19,0
448,25/03/2022,311327,19,0
449,26/03/2022,313909,19,0
450,27/03/2022,316677,19,0
451,28/03/2022,318817,19,0
452,29/03/2022,321527,19,0
453,30/03/2022,323853,19,0
454,31/03/2022,325892,19,0
