,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
175,25/06/2021,740,17,481,,,
176,26/06/2021,743,17,488,,,
177,27/06/2021,743,17,490,,,
178,28/06/2021,743,17,496,,,
179,29/06/2021,743,17,501,,,
180,30/06/2021,743,17,502,,,
181,1/7/2021,743,17,506,,,
182,2/7/2021,744,17,506,,,
183,3/7/2021,744,17,512,,,
184,4/7/2021,744,18,512,,,
185,5/7/2021,744,18,512,,,
186,6/7/2021,744,19,512,,,
187,7/7/2021,754,19,512,,,
188,8/7/2021,754,19,512,,,
189,9/7/2021,754,19,512,,,
190,10/7/2021,756,19,512,,,
191,11/7/2021,756,19,512,,,
192,12/7/2021,770,19,514,,,
193,13/07/2021,797,19,514,,,
194,14/07/2021,798,19,514,,,
195,15/07/2021,810,19,518,,,
196,16/07/2021,837,19,518,,,
197,17/07/2021,839,19,518,,,
198,18/07/2021,872,20,518,,,
199,19/07/2021,872,20,518,,,
200,20/07/2021,946,20,518,,,
201,21/07/2021,971,20,518,,,
202,22/07/2021,971,20,518,,,
203,23/07/2021,1186,20,518,,,
204,24/07/2021,1195,20,518,,,
205,25/07/2021,1210,20,518,,,
206,26/07/2021,1291,20,518,,,
207,27/07/2021,1314,20,518,,,
208,28/07/2021,1388,20,518,,,
209,29/07/2021,1447,20,518,,,
210,30/07/2021,1591,21,518,,,
211,31/07/2021,1637,21,518,,,
212,1/8/2021,1718,21,518,,,
213,2/8/2021,1877,21,518,,,
214,3/8/2021,1975,23,518,,,
215,4/8/2021,1999,24,518,,,
216,5/8/2021,2068,25,518,,,
217,6/8/2021,2184,29,518,,,
218,7/8/2021,2194,29,518,,,
219,8/8/2021,2308,26,518,,,
220,9/8/2021,2386,27,518,,,
221,10/8/2021,2447,30,518,,,
222,11/8/2021,2487,30,518,,,
223,12/8/2021,2565,30,518,,,
224,13/08/2021,2662,30,518,,,
225,14/08/2021,2702,31,518,,,
226,15/08/2021,2741,31,518,,,
227,16/08/2021,2791,33,518,,,
228,17/08/2021,2852,33,518,,,
229,18/08/2021,2900,33,518,,,
230,19/08/2021,2953,33,518,,,
231,20/08/2021,3025,34,518,,,
232,21/08/2021,3101,34,518,,,
233,22/08/2021,3112,36,518,,,
234,23/08/2021,3153,36,518,,,
235,24/08/2021,3219,36,518,,,
236,25/08/2021,3315,37,518,,,
237,26/08/2021,3366,38,518,,,
238,27/08/2021,3443,38,518,,,
239,28/08/2021,3504,38,518,,,
240,29/08/2021,3637,38,518,,,
241,30/08/2021,3747,39,518,,,
242,31/08/2021,3824,39,518,,,
243,1/9/2021,3875,41,518,,,
244,2/9/2021,3923,42,518,,,
245,3/9/2021,3981,44,518,,,
246,4/9/2021,4033,45,518,,,
247,5/9/2021,4086,46,518,,,
248,6/9/2021,4119,47,518,,,
249,7/9/2021,4155,47,518,,,
250,8/9/2021,4190,47,518,,,
251,9/9/2021,4225,47,518,,,
252,10/9/2021,4254,47,518,,,
253,11/9/2021,4289,47,518,,,
254,12/9/2021,4309,47,518,,,
255,13/09/2021,4310,47,518,4395578,659029,5054607
256,14/09/2021,4331,47,518,4629939,662556,5292495
257,15/09/2021,4345,47,518,4788906,665185,5454091
258,16/09/2021,4360,48,518,4891312,681798,5573110
259,17/09/2021,4375,48,518,4891312,681798,5573110
260,18/09/2021,4394,49,518,4963298,698278,5661576
261,19/09/2021,4414,49,518,4996747,704832,5701579
262,20/09/2021,4423,49,518,5000705,708916,5709621
263,21/09/2021,4435,49,518,5009920,714071,5723991
264,22/09/2021,4442,49,518,4981995,753829,5735824
265,23/09/2021,4447,51,518,4981995,753829,5735824
266,24/09/2021,4452,51,518,4960411,785145,5745556
267,25/09/2021,4456,51,518,4916981,851879,5768860
268,26/09/2021,4458,51,518,4817280,961917,5779197
269,27/09/2021,4459,51,518,4725356,1076006,5801362
270,28/09/2021,4465,51,518,4725356,1076006,5801362
271,29/09/2021,4469,51,518,4651781,1188542,5840323
272,30/09/2021,4470,51,518,4619089,1234946,5854035
273,1/10/2021,4478,35,518,4619089,1234946,5854035
274,2/10/2021,4492,35,518,4548530,1311222,5859752
275,3/10/2021,4496,35,518,4504345,1358521,5862866
276,4/10/2021,4504,35,518,4450543,1416659,5867202
277,5/10/2021,4507,35,518,4316898,1557289,5874187
278,6/10/2021,4516,35,518,4160072,1718323,5878395
279,7/10/2021,4519,35,518,3981707,1898519,5880226
280,8/10/2021,4524,35,518,3746444,2147520,5893964
281,9/10/2021,4525,36,518,3521595,2379796,5901391
282,10/10/2021,4526,36,518,3239225,2673036,5912261
