,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
175,25/06/2021,15,0,12,,,
176,26/06/2021,17,0,12,,,
177,27/06/2021,17,0,12,,,
178,28/06/2021,18,0,12,,,
179,29/06/2021,20,0,12,,,
180,30/06/2021,21,0,12,,,
181,1/7/2021,21,0,12,,,
182,2/7/2021,22,0,12,,,
183,3/7/2021,22,0,12,,,
184,4/7/2021,22,0,12,,,
185,5/7/2021,24,0,12,,,
186,6/7/2021,24,0,12,,,
187,7/7/2021,24,0,12,,,
188,8/7/2021,24,0,12,,,
189,9/7/2021,24,0,12,,,
190,10/7/2021,24,0,12,,,
191,11/7/2021,24,0,12,,,
192,12/7/2021,24,0,12,,,
193,13/07/2021,25,0,12,,,
194,14/07/2021,25,0,12,,,
195,15/07/2021,25,0,12,,,
196,16/07/2021,26,0,12,,,
197,17/07/2021,26,0,12,,,
198,18/07/2021,27,0,12,,,
199,19/07/2021,27,0,12,,,
200,20/07/2021,33,0,12,,,
201,21/07/2021,34,0,12,,,
202,22/07/2021,34,0,12,,,
203,23/07/2021,37,0,12,,,
204,24/07/2021,37,0,12,,,
205,25/07/2021,37,0,12,,,
206,26/07/2021,37,0,12,,,
207,27/07/2021,37,0,12,,,
208,28/07/2021,37,0,12,,,
209,29/07/2021,37,0,12,,,
210,30/07/2021,37,0,12,,,
211,31/07/2021,38,0,12,,,
212,1/8/2021,38,0,12,,,
213,2/8/2021,38,0,12,,,
214,3/8/2021,38,0,12,,,
215,4/8/2021,38,0,12,,,
216,5/8/2021,38,0,12,,,
217,6/8/2021,38,0,12,,,
218,7/8/2021,38,0,12,,,
219,8/8/2021,38,0,12,,,
220,9/8/2021,38,0,12,,,
221,10/8/2021,38,0,12,,,
222,11/8/2021,38,0,12,,,
223,12/8/2021,38,0,12,,,
224,13/08/2021,38,0,12,,,
225,14/08/2021,38,0,12,,,
226,15/08/2021,38,0,12,,,
227,16/08/2021,38,0,12,,,
228,17/08/2021,38,0,12,,,
229,18/08/2021,38,0,12,,,
230,19/08/2021,48,0,12,,,
231,20/08/2021,53,0,12,,,
232,21/08/2021,53,0,12,,,
233,22/08/2021,53,0,12,,,
234,23/08/2021,53,0,12,,,
235,24/08/2021,57,0,12,,,
236,25/08/2021,57,0,12,,,
237,26/08/2021,57,0,12,,,
238,27/08/2021,59,0,12,,,
239,28/08/2021,59,0,12,,,
240,29/08/2021,59,0,12,,,
241,30/08/2021,59,0,12,,,
242,31/08/2021,59,0,12,,,
243,1/9/2021,59,0,12,,,
244,2/9/2021,59,0,12,,,
245,3/9/2021,59,0,12,,,
246,4/9/2021,59,0,12,,,
247,5/9/2021,59,0,12,,,
248,6/9/2021,63,0,12,,,
249,7/9/2021,63,0,12,,,
250,8/9/2021,63,0,12,,,
251,9/9/2021,63,0,12,,,
252,10/9/2021,63,0,12,,,
253,11/9/2021,63,0,12,,,
254,12/9/2021,63,0,12,,,
255,13/09/2021,63,0,12,65023,47262,112285
256,14/09/2021,63,0,12,65023,47262,112285
257,15/09/2021,63,0,12,364403,47755,412158
258,16/09/2021,63,0,12,364403,47755,412158
259,17/09/2021,63,0,12,364403,47755,412158
260,18/09/2021,63,0,12,364403,47755,412158
261,19/09/2021,63,0,12,364403,47755,412158
262,20/09/2021,63,0,12,364403,47755,412158
263,21/09/2021,63,0,12,364403,47755,412158
264,22/09/2021,63,0,12,364403,47755,412158
265,23/09/2021,63,0,12,364403,47755,412158
266,24/09/2021,63,0,12,364403,47755,412158
267,25/09/2021,63,0,12,364403,47755,412158
268,26/09/2021,63,0,12,364403,47755,412158
269,27/09/2021,63,0,12,364403,47755,412158
270,28/09/2021,63,0,12,364403,47755,412158
271,29/09/2021,63,0,12,418404,48512,466916
272,30/09/2021,63,0,12,473507,48660,522167
273,1/10/2021,63,0,12,473507,48660,522167
274,2/10/2021,63,0,12,518532,56667,575199
275,3/10/2021,63,0,12,536742,56811,593553
276,4/10/2021,63,0,12,543998,64433,608431
277,5/10/2021,63,0,12,543998,64433,608431
278,6/10/2021,63,0,12,543998,64433,608431
279,7/10/2021,63,0,12,543998,64433,608431
280,8/10/2021,63,0,12,543998,64433,608431
281,9/10/2021,63,0,12,555784,83098,638882
282,10/10/2021,63,0,12,367916,337160,705076
283,11/10/2021,63,0,12,367916,337160,705076
284,12/10/2021,65,0,12,367916,337160,705076
285,13/10/2021,65,0,12,367916,337160,705076
286,14/10/2021,66,0,12,367916,337160,705076
287,15/10/2021,66,0,12,367916,337160,705076
288,16/10/2021,66,0,12,367916,337160,705076
289,17/10/2021,66,0,12,367916,337160,705076
290,18/10/2021,66,0,12,367916,337160,705076
291,19/10/2021,66,0,12,381729,360136,741865
292,20/10/2021,66,0,12,444127,361750,805877
293,21/10/2021,68,0,12,444127,361750,805877
294,22/10/2021,68,0,12,521304,380352,901656
295,23/10/2021,70,0,12,522689,383429,906118
296,24/10/2021,70,0,12,522689,383429,906118
297,25/10/2021,70,0,12,522689,383429,906118
298,26/10/2021,70,0,12,522689,383429,906118
299,27/10/2021,71,0,12,522689,383429,906118
300,28/10/2021,71,0,12,522689,383429,906118
301,29/10/2021,73,0,12,522689,383429,906118
302,30/10/2021,76,0,12,522689,383429,906118
303,31/10/2021,78,0,12,522689,383429,906118
304,1/11/2021,78,0,12,522689,383429,906118
305,2/11/2021,82,0,12,524101,384234,908335
306,3/11/2021,88,0,12,524254,384433,908687
307,4/11/2021,90,0,12,524231,384477,908708
308,5/11/2021,93,0,12,524231,384477,908708
309,6/11/2021,103,0,12,605243,391167,996410
310,7/11/2021,104,0,12,605243,391167,996410
311,8/11/2021,120,0,12,713491,419833,1133324
312,9/11/2021,124,0,12,986240,446147,1432387
313,10/11/2021,125,0,12,1017391,446223,1463614
314,11/11/2021,125,0,0,1066608,446476,1959560
315,12/11/2021,141,0,0,1066608,446476,1959560
316,13/11/2021,152,0,0,1068156,446479,1961114
317,14/11/2021,152,0,0,1068156,446479,1961114
318,15/11/2021,157,0,0,1068156,446479,1961114
319,16/11/2021,157,0,0,1180777,448632,2078041
320,17/11/2021,164,0,0,1086367,569120,2224607
321,18/11/2021,169,0,0,1086367,569120,2224607
322,19/11/2021,170,0,0,1100600,554901,2210402
323,20/11/2021,184,0,0,1100600,554901,2210402
324,21/11/2021,186,0,0,1100600,554901,2210402
325,22/11/2021,191,0,0,1100600,554901,2210402
326,23/11/2021,193,0,0,1100600,554901,2210402
327,24/11/2021,229,0,0,1100600,554901,2210402
328,25/11/2021,231,0,0,1100600,554901,2210402
329,26/11/2021,235,0,0,907003,771966,2450935
330,27/11/2021,257,0,0,877350,805586,2488522
331,28/11/2021,385,0,0,877350,805586,2488522
332,29/11/2021,441,0,0,877350,805586,2488522
333,30/11/2021,595,0,0,413175,1254897,2922969
334,1/12/2021,736,0,0,413175,1254897,2922969
335,2/12/2021,773,0,0,273324,1507565,3288454
336,3/12/2021,971,0,0,273324,1507565,3288454
337,4/12/2021,1052,0,0,273324,1507565,3288454
338,5/12/2021,1143,0,0,273324,1507565,3288454
339,6/12/2021,1143,0,0,273324,1507565,3288454
340,7/12/2021,1454,0,0,273324,1507565,3288454
341,8/12/2021,1719,1,0,273324,1507565,3288454
342,9/12/2021,1777,2,0,340623,1507565,3355753
343,10/12/2021,1957,2,0,340623,1507565,3355753
344,11/12/2021,2169,2,0,340623,1507565,3355753
345,12/12/2021,2292,2,0,340623,1507565,3355753
346,13/12/2021,2475,3,0,340623,1507565,3355753
347,14/12/2021,2859,3,0,340587,1507566,3355719
348,15/12/2021,2975,6,0,340587,1507566,3355719
349,16/12/2021,3306,6,0,340587,1507566,3355719
350,17/12/2021,3306,6,0,340587,1507566,3355719
351,18/12/2021,3514,6,0,340587,1507566,3355719
352,19/12/2021,3931,6,0,340587,1507566,3355719
353,20/12/2021,4026,6,0,340587,1507566,3355719
354,21/12/2021,4261,6,0,144857,1746528,3637913
355,22/12/2021,4710,6,0,144857,1746528,3637913
356,23/12/2021,4962,6,0,144857,1746528,3637913
357,24/12/2021,4981,7,0,144857,1746528,3637913
358,25/12/2021,5406,7,0,144857,1746528,3637913
359,26/12/2021,5673,7,0,144857,1746528,3637913
360,27/12/2021,6604,7,0,144857,1746528,3637913
361,28/12/2021,7201,8,0,352791,1436434,3225659
362,29/12/2021,7473,8,0,352791,1436434,3225659
363,30/12/2021,8311,9,0,352791,1436434,3225659
364,31/12/2021,8831,9,0,352791,1436434,3225659
365,1/1/2022,8947,9,0,352791,1436434,3225659
366,2/1/2022,10751,9,0,352791,1436434,3225659
367,3/1/2022,12500,9,0,352791,1436434,3225659
368,4/1/2022,13102,9,0,352791,1436434,3225659
369,5/1/2022,13894,9,0,352791,1436434,3225659
370,6/1/2022,14817,10,0,352791,1436434,3225659
371,7/1/2022,15612,10,0,352791,1436434,3225659
372,8/1/2022,16360,10,0,352791,1436434,3225659
373,9/1/2022,17197,10,0,352791,1436434,3225659
374,10/1/2022,17789,12,0,352791,1436434,3225659
375,11/1/2022,18303,12,0,352791,1436434,3225659
376,12/1/2022,18828,14,0,352791,1436434,3225659
377,13/01/2022,19325,15,0,352791,1436434,3225659
